system:index,CO_area_mean_mol_per_m2,CO_population_weighted_exposure_mol_per_m2,end_date,population_year_used,port_name,start_date,total_population,year,.geo
00000000000000000009_0,0.04872528626829746,0.05543592702588371,2019-01-01,2018.0,Qinhuangdao,2018-12-05,1102.0130980775054,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_1,0.05321779013692747,0.05932098116001031,2020-01-01,2019.0,Qinhuangdao,2019-01-01,1109.1038262577622,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_2,0.05275970272278674,0.05796284032336412,2021-01-01,2020.0,Qinhuangdao,2020-01-01,1116.502733047394,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_3,0.05026358101752625,0.053476428708404654,2022-01-01,2020,Qinhuangdao,2021-01-01,1116.502733047394,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_4,0.04490220541046676,0.04747745139228615,2023-01-01,2020,Qinhuangdao,2022-01-01,1116.502733047394,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_5,0.047271399253189114,0.05090665878522237,2024-01-01,2020,Qinhuangdao,2023-01-01,1116.502733047394,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_6,0.047690475950155665,0.05061616903250245,2025-01-01,2020,Qinhuangdao,2024-01-01,1116.502733047394,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_7,0.04494640636523603,0.047961775149907335,2026-01-01,2020,Qinhuangdao,2025-01-01,1116.502733047394,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_0,0.04422934416162025,0.04833582388397853,2019-01-01,2018.0,Yingkou,2018-12-05,1669.123248185597,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_1,0.048845029271510944,0.05218869962826889,2020-01-01,2019.0,Yingkou,2019-01-01,1675.6502954240145,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_2,0.04853088895985965,0.052053324665751896,2021-01-01,2020.0,Yingkou,2020-01-01,1683.8567931942857,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_3,0.047841921168202385,0.05069624117537953,2022-01-01,2020,Yingkou,2021-01-01,1683.8567931942857,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_4,0.043132124248736206,0.04534114216633124,2023-01-01,2020,Yingkou,2022-01-01,1683.8567931942857,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_5,0.04481939180012665,0.047107116767644376,2024-01-01,2020,Yingkou,2023-01-01,1683.8567931942857,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_6,0.045570488091802856,0.047868656299115596,2025-01-01,2020,Yingkou,2024-01-01,1683.8567931942857,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_7,0.04295463270376551,0.04517326418752006,2026-01-01,2020,Yingkou,2025-01-01,1683.8567931942857,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_0,0.039457505947902746,0.04057554190504741,2019-01-01,2018.0,Alleppey,2018-12-05,2378.4931949912334,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_1,0.034550701807109695,0.0365496376146906,2020-01-01,2019.0,Alleppey,2019-01-01,2384.6901557020105,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_2,0.035053496259357914,0.03711763031631348,2021-01-01,2020.0,Alleppey,2020-01-01,2390.1941609781147,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_3,0.03372127788552065,0.03613862195112838,2022-01-01,2020,Alleppey,2021-01-01,2390.1941609781147,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_4,0.032512491621989846,0.03430712740576561,2023-01-01,2020,Alleppey,2022-01-01,2390.1941609781147,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_5,0.03380439475214826,0.03585607920084642,2024-01-01,2020,Alleppey,2023-01-01,2390.1941609781147,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_6,0.03460629188395665,0.036148294427485336,2025-01-01,2020,Alleppey,2024-01-01,2390.1941609781147,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_7,0.03298899630109186,0.03451578317942868,2026-01-01,2020,Alleppey,2025-01-01,2390.1941609781147,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_0,0.036800864858418936,0.03790342051412121,2019-01-01,2018.0,Keelung,2018-12-05,1937.0060684148734,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_1,0.03858711187040098,0.0391838184104369,2020-01-01,2019.0,Keelung,2019-01-01,1949.846984358084,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_2,0.03962271332407021,0.039688808556733075,2021-01-01,2020.0,Keelung,2020-01-01,1970.8686360267882,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_3,0.03907142723932218,0.038998560257133955,2022-01-01,2020,Keelung,2021-01-01,1970.8686360267882,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_4,0.03534747576157609,0.03511340272966513,2023-01-01,2020,Keelung,2022-01-01,1970.8686360267882,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_5,0.03836403865256992,0.03809747563022406,2024-01-01,2020,Keelung,2023-01-01,1970.8686360267882,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_6,0.037806376521695884,0.03809635715067509,2025-01-01,2020,Keelung,2024-01-01,1970.8686360267882,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_7,0.03531314028181843,0.03523367782714313,2026-01-01,2020,Keelung,2025-01-01,1970.8686360267882,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_0,0.04392116887001224,0.04424521796019599,2019-01-01,2018.0,Mongla,2018-12-05,3864.411173393449,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_1,0.042223019592215714,0.0425837217836131,2020-01-01,2019.0,Mongla,2019-01-01,3886.5675889042086,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_2,0.04378701463188485,0.044228790106777,2021-01-01,2020.0,Mongla,2020-01-01,3902.128192957066,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_3,0.04468853592335548,0.045008538659553204,2022-01-01,2020,Mongla,2021-01-01,3902.128192957066,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_4,0.04275728071593756,0.04295423238703179,2023-01-01,2020,Mongla,2022-01-01,3902.128192957066,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_5,0.04328760295211145,0.04388626982455955,2024-01-01,2020,Mongla,2023-01-01,3902.128192957066,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_6,0.04508130447641327,0.04538452606011591,2025-01-01,2020,Mongla,2024-01-01,3902.128192957066,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_7,0.043455389523720626,0.0438893829061345,2026-01-01,2020,Mongla,2025-01-01,3902.128192957066,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e_0,0.05219995382093614,0.05351892729134819,2019-01-01,2018.0,Lianyungang,2018-12-05,2042.33026314816,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e_1,0.05117078447810213,0.05192307533813005,2020-01-01,2019.0,Lianyungang,2019-01-01,2036.3950379319633,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e_2,0.051020785454273035,0.05162080838147185,2021-01-01,2020.0,Lianyungang,2020-01-01,2031.1424781392318,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e_3,0.04801944804982491,0.048364456023514524,2022-01-01,2020,Lianyungang,2021-01-01,2031.1424781392318,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e_4,0.04579178097778059,0.046221899264017006,2023-01-01,2020,Lianyungang,2022-01-01,2031.1424781392318,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e_5,0.046815054328656236,0.046994608596695964,2024-01-01,2020,Lianyungang,2023-01-01,2031.1424781392318,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e_6,0.046973405947825245,0.04755065844068148,2025-01-01,2020,Lianyungang,2024-01-01,2031.1424781392318,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e_7,0.044123620643683914,0.044255886215193316,2026-01-01,2020,Lianyungang,2025-01-01,2031.1424781392318,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_0,0.03995271852156927,0.04066413127464151,2019-01-01,2018.0,Zhanjiang,2018-12-05,2099.8133876332467,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_1,0.04487643072960906,0.0448509679335305,2020-01-01,2019.0,Zhanjiang,2019-01-01,2126.364122839476,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_2,0.043391271751226014,0.04245100000035281,2021-01-01,2020.0,Zhanjiang,2020-01-01,2153.184288708718,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_3,0.04256921649710236,0.042131403137828316,2022-01-01,2020,Zhanjiang,2021-01-01,2153.184288708718,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_4,0.0387672418481507,0.03916432167819554,2023-01-01,2020,Zhanjiang,2022-01-01,2153.184288708718,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_5,0.0440443668952705,0.043778122294100726,2024-01-01,2020,Zhanjiang,2023-01-01,2153.184288708718,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_6,0.04294840377059169,0.0425798606433407,2025-01-01,2020,Zhanjiang,2024-01-01,2153.184288708718,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_7,0.039408178727526964,0.03944542653244656,2026-01-01,2020,Zhanjiang,2025-01-01,2153.184288708718,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_0,0.046613463295479524,0.04616679646698724,2019-01-01,2018.0,Zhoushan,2018-12-05,1844.4124055587336,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_1,0.04317064724026942,0.04428631496322976,2020-01-01,2019.0,Zhoushan,2019-01-01,1887.255588939334,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_2,0.04445354937028098,0.04515306628853428,2021-01-01,2020.0,Zhoushan,2020-01-01,1931.1073932640988,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_3,0.04344340659975729,0.04394813435492344,2022-01-01,2020,Zhoushan,2021-01-01,1931.1073932640988,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_4,0.03986396886771294,0.040874953644954685,2023-01-01,2020,Zhoushan,2022-01-01,1931.1073932640988,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_5,0.041657673290461446,0.04257949101265791,2024-01-01,2020,Zhoushan,2023-01-01,1931.1073932640988,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_6,0.042290172699518264,0.04230574378478701,2025-01-01,2020,Zhoushan,2024-01-01,1931.1073932640988,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_7,0.03851014551821604,0.03903341600204846,2026-01-01,2020,Zhoushan,2025-01-01,1931.1073932640988,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011_0,0.03181246516922079,0.03185748769297009,2019-01-01,2018.0,Lhokseumawe,2018-12-05,315.3966857426453,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011_1,0.03320302014907564,0.032727643218575124,2020-01-01,2019.0,Lhokseumawe,2019-01-01,317.32257927771576,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011_2,0.031500413524938535,0.03184419780970373,2021-01-01,2020.0,Lhokseumawe,2020-01-01,318.84682140876265,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011_3,0.030243043868600106,0.03007605962524955,2022-01-01,2020,Lhokseumawe,2021-01-01,318.84682140876265,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011_4,0.028712054332332888,0.028308458125636718,2023-01-01,2020,Lhokseumawe,2022-01-01,318.84682140876265,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011_5,0.030939611213142718,0.03069987370193923,2024-01-01,2020,Lhokseumawe,2023-01-01,318.84682140876265,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011_6,0.031244495745159143,0.031243709937780646,2025-01-01,2020,Lhokseumawe,2024-01-01,318.84682140876265,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011_7,0.029038410788749476,0.02859777037790917,2026-01-01,2020,Lhokseumawe,2025-01-01,318.84682140876265,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012_0,0.025926205239902415,0.026525705919263676,2019-01-01,2018.0,Panjang,2018-12-05,1273.8591405841648,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012_1,0.03313758340488911,0.033202721441121734,2020-01-01,2019.0,Panjang,2019-01-01,1300.658893726152,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012_2,0.030529244671057783,0.0307115593357338,2021-01-01,2020.0,Panjang,2020-01-01,1324.1287000822088,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
