system:index,NO2_area_mean_mol_per_m2,NO2_population_weighted_exposure_mol_per_m2,end_date,population_year_used,port_name,start_date,total_population,year,.geo
00000000000000000009_0,1.368929270970297E-4,1.766262850290947E-4,2019-01-01,2018.0,Qinhuangdao,2018-12-05,1102.0130980775054,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_1,1.1222309426078769E-4,1.548830311175271E-4,2020-01-01,2019.0,Qinhuangdao,2019-01-01,1109.1038262577622,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_2,1.1610410608394154E-4,1.6161886748819606E-4,2021-01-01,2020.0,Qinhuangdao,2020-01-01,1116.502733047394,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_3,1.2617208288143728E-4,1.7107561959825183E-4,2022-01-01,2020,Qinhuangdao,2021-01-01,1116.502733047394,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_4,9.696007460977124E-5,1.3181905432713218E-4,2023-01-01,2020,Qinhuangdao,2022-01-01,1116.502733047394,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_5,1.0680914909691602E-4,1.4632188479060532E-4,2024-01-01,2020,Qinhuangdao,2023-01-01,1116.502733047394,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_6,9.571590247502966E-5,1.2717451248051706E-4,2025-01-01,2020,Qinhuangdao,2024-01-01,1116.502733047394,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_7,1.0630444869438109E-4,1.4021398700848726E-4,2026-01-01,2020,Qinhuangdao,2025-01-01,1116.502733047394,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_0,1.0842296787168933E-4,1.3648525035608397E-4,2019-01-01,2018.0,Yingkou,2018-12-05,1669.123248185597,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_1,8.65427743631472E-5,1.2385117734424507E-4,2020-01-01,2019.0,Yingkou,2019-01-01,1675.6502954240145,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
