system:index,SO2_area_mean_mol_per_m2,SO2_population_weighted_exposure_mol_per_m2,end_date,population_year_used,port_name,start_date,total_population,year,.geo
00000000000000000007_5,1.856267611154107E-5,2.6046302359986686E-5,2024-01-01,2020,Sriracha,2023-01-01,4060.1005962321574,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_6,1.1268058990256039E-5,8.499729692009028E-6,2025-01-01,2020,Sriracha,2024-01-01,4060.1005962321574,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_7,2.9873457249212848E-5,3.5087195128122933E-5,2026-01-01,2020,Sriracha,2025-01-01,4060.1005962321574,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_0,1.2370122183878496E-4,1.412676879266817E-4,2019-01-01,2018.0,Haimen,2018-12-05,1687.6045375417564,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_1,7.134977859142724E-5,6.32482779942635E-5,2020-01-01,2019.0,Haimen,2019-01-01,1710.6554260919177,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_2,6.973640601289171E-5,6.295836034551312E-5,2021-01-01,2020.0,Haimen,2020-01-01,1734.6450564032225,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_3,1.672265226506182E-4,1.5484897280103148E-4,2022-01-01,2020,Haimen,2021-01-01,1734.6450564032225,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_4,9.608366583378631E-5,8.969126508790426E-5,2023-01-01,2020,Haimen,2022-01-01,1734.6450564032225,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_5,1.299770732290767E-4,1.2889011947405006E-4,2024-01-01,2020,Haimen,2023-01-01,1734.6450564032225,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_6,8.130258945013053E-5,7.894782204856293E-5,2025-01-01,2020,Haimen,2024-01-01,1734.6450564032225,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_7,4.406401091350727E-5,4.6373581858194904E-5,2026-01-01,2020,Haimen,2025-01-01,1734.6450564032225,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_0,,0.0,2019-01-01,2018.0,Qinhuangdao,2018-12-05,1102.0130980775054,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_1,3.7145949221079635E-4,3.9399428503972636E-4,2020-01-01,2019.0,Qinhuangdao,2019-01-01,1109.1038262577622,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
