system:index,CO_area_mean_mol_per_m2,NO2_area_mean_mol_per_m2,SO2_area_mean_mol_per_m2,end_date,population_year_used,port_name,start_date,total_pollution_area_mean_mol_per_m2,total_pollution_population_weighted_exposure_mol_per_m2,total_population,year,.geo
0000000000000000000a_2,0.04853088895985965,9.40863521561067E-5,4.0501217355569825E-4,2021-01-01,2020.0,Yingkou,2020-01-01,0.04902998748557143,0.052601692541881705,1683.8567931942857,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_3,0.047841921168202385,1.0223130195945247E-4,4.166060115786854E-4,2022-01-01,2020,Yingkou,2021-01-01,0.04836075848174056,0.051262044055543285,1683.8567931942857,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_4,0.043132124248736206,8.312208877452478E-5,3.97724592295181E-4,2023-01-01,2020,Yingkou,2022-01-01,0.043612970929805955,0.0458535872226765,1683.8567931942857,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_5,0.04481939180012665,8.705927638777094E-5,3.965827222629979E-4,2024-01-01,2020,Yingkou,2023-01-01,0.04530303379877743,0.047648260188181406,1683.8567931942857,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_6,0.045570488091802856,8.278220134138995E-5,4.758465653226013E-4,2025-01-01,2020,Yingkou,2024-01-01,0.04612911685846691,0.04849033440222559,1683.8567931942857,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_7,0.04295463270376551,8.614822248735775E-5,1.5100744624121966E-4,2026-01-01,2020,Yingkou,2025-01-01,0.0431917883724941,0.04544383801908442,1683.8567931942857,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_0,0.039457505947902746,2.212881881547419E-5,4.1405566596297374E-5,2019-01-01,2018.0,Alleppey,2018-12-05,0.03952072610434161,0.040664068607976514,2378.4931949912334,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_1,0.034550701807109695,1.9366621669385712E-5,8.355503942994053E-6,2020-01-01,2019.0,Alleppey,2019-01-01,0.03457842393272213,0.03657760941148601,2384.6901557020105,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_2,0.035053496259357914,1.7452109954735338E-5,1.0927699697543427E-6,2021-01-01,2020.0,Alleppey,2020-01-01,0.03507204113928241,0.03714128323393473,2390.1941609781147,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_3,0.03372127788552065,1.7454847966234647E-5,7.400936315733084E-6,2022-01-01,2020,Alleppey,2021-01-01,0.033746133669802565,0.03616806218905536,2390.1941609781147,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_4,0.032512491621989846,1.8412197165712365E-5,1.6833948050128307E-5,2023-01-01,2020,Alleppey,2022-01-01,0.0325477377672057,0.034342236451239266,2390.1941609781147,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_5,0.03380439475214826,1.889884041257504E-5,2.581392543467283E-5,2024-01-01,2020,Alleppey,2023-01-01,0.03384910751799554,0.03590538435024968,2390.1941609781147,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_6,0.03460629188395665,1.8649303530636684E-5,1.879278846204924E-5,2025-01-01,2020,Alleppey,2024-01-01,0.034643733975949345,0.03618890217851784,2390.1941609781147,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_7,0.03298899630109186,1.792366739755835E-5,6.839243625208785E-6,2026-01-01,2020,Alleppey,2025-01-01,0.03301375921211463,0.034550603839189176,2390.1941609781147,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_0,0.036800864858418936,4.162608923909181E-5,1.7711866332866868E-5,2019-01-01,2018.0,Keelung,2018-12-05,0.036860202813990904,0.03811540217304519,1937.0060684148734,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_1,0.03858711187040098,2.9905163443254627E-5,1.0344445894332202E-5,2020-01-01,2019.0,Keelung,2019-01-01,0.03862736147973862,0.039246040832206175,1949.846984358084,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_2,0.03962271332407021,2.875194463863299E-5,1.422481283609242E-5,2021-01-01,2020.0,Keelung,2020-01-01,0.039665690081544906,0.03974751845921186,1970.8686360267882,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_3,0.03907142723932218,3.164227313695312E-5,4.72731987750497E-5,2022-01-01,2020,Keelung,2021-01-01,0.03915034271123419,0.03910993336566575,1970.8686360267882,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_4,0.03534747576157609,2.980750385943211E-5,4.837792920678435E-5,2023-01-01,2020,Keelung,2022-01-01,0.03542566119464225,0.035237388273135495,1970.8686360267882,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_5,0.03836403865256992,3.400394835220324E-5,3.2350062694055046E-5,2024-01-01,2020,Keelung,2023-01-01,0.03843039266361619,0.03821876858850792,1970.8686360267882,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_6,0.037806376521695884,3.191174178352228E-5,3.908503002104878E-5,2025-01-01,2020,Keelung,2024-01-01,0.03787737329350048,0.03819635565213319,1970.8686360267882,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_7,0.03531314028181843,3.1019345355885744E-5,1.2241487528149556E-5,2026-01-01,2020,Keelung,2025-01-01,0.03535640111470247,0.03531971815527254,1970.8686360267882,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_0,0.04392116887001224,3.218037164332485E-5,1.8740235523255345E-4,2019-01-01,2018.0,Mongla,2018-12-05,0.044140772669037494,0.04447655951750602,3864.411173393449,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_1,0.042223019592215714,2.6682266577824986E-5,1.0150376258520223E-4,2020-01-01,2019.0,Mongla,2019-01-01,0.04235120562137884,0.042712535856558445,3886.5675889042086,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_2,0.04378701463188485,2.757025580652427E-5,1.0379915359085413E-4,2021-01-01,2020.0,Mongla,2020-01-01,0.04391838404128224,0.04436328014167899,3902.128192957066,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_3,0.04468853592335548,3.269941353323002E-5,1.5653675316307857E-4,2022-01-01,2020,Mongla,2021-01-01,0.0448777720900518,0.045202496286238875,3902.128192957066,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
